epoch,plain,warmup
376,0.839296,0.848259
377,0.834490,0.846556
378,0.840531,0.851482
379,0.842503,0.857187
380,0.842434,0.850750
381,0.841640,0.853005
382,0.840809,0.845255
383,0.842382,0.841548
384,0.849276,0.841472
385,0.851812,0.843596
386,0.855152,0.839072
387,0.855474,0.839118
388,0.855064,0.834922
389,0.859487,0.839304
390,0.858274,0.837941
391,0.859147,0.837128
392,0.855730,0.841798
393,0.853437,0.832727
394,0.855244,0.842107
395,0.857175,0.847404
396,0.860805,0.846211
397,0.862024,0.846799
398,0.865465,0.843020
399,0.866827,0.839523
400,0.859046,0.833378
401,0.861969,0.840541
402,0.864333,0.842956
403,0.853529,0.839733
404,0.856986,0.840557
405,0.860666,0.834589
406,0.861417,0.835759
407,0.862982,0.841035
408,0.866171,0.844753
409,0.866823,0.853580
410,0.869450,0.856414
411,0.862773,0.853135
412,0.852202,0.848883
413,0.853211,0.851191
414,0.843421,0.844669
415,0.850026,0.842509
416,0.850074,0.841585
417,0.852891,0.842954
418,0.849587,0.848143
419,0.833704,0.842375
420,0.830769,0.843066
421,0.830286,0.851404
422,0.835510,0.828103
423,0.843776,0.828531
424,0.843363,0.826974
425,0.847247,0.823597
426,0.847841,0.832155
427,0.853658,0.833153
428,0.852507,0.833157
429,0.845868,0.840300
430,0.835589,0.840209
431,0.833391,0.841086
432,0.823971,0.841422
433,0.833434,0.841352
434,0.839045,0.844453
435,0.847805,0.845705
436,0.844622,0.847777
437,0.850423,0.843814
438,0.826289,0.846361
439,0.833072,0.847947
440,0.835895,0.847450
441,0.828134,0.850141
442,0.833055,0.856492
443,0.820309,0.857032
444,0.808749,0.861204
445,0.817804,0.861546
446,0.819195,0.868685
447,0.823356,0.869368
448,0.826722,0.871709
449,0.824668,0.869703
450,0.825463,0.859437
451,0.830174,0.860812
452,0.838599,0.868882
453,0.845646,0.869613
454,0.844672,0.871639
455,0.838536,0.871665
456,0.840227,0.874028
457,0.844455,0.869076
458,0.851075,0.868199
459,0.859750,0.866293
460,0.862963,0.873629
461,0.857192,0.871784
462,0.855741,0.868133
463,0.846553,0.866895
464,0.849744,0.864842
465,0.850580,0.867098
466,0.854731,0.869529
467,0.856467,0.867272
468,0.856997,0.872620
469,0.854728,0.868673
470,0.846750,0.868038
471,0.849064,0.861872
472,0.853668,0.865809
473,0.856253,0.869041
474,0.852989,0.863366
475,0.858275,0.867003
476,0.858856,0.869228
477,0.843978,0.867973
478,0.844833,0.871486
479,0.850337,0.862572
480,0.850477,0.862865
481,0.855530,0.865672
482,0.835953,0.866165
483,0.836978,0.865990
484,0.837497,0.864388
485,0.844024,0.860232
486,0.845198,0.854906
487,0.847312,0.854827
488,0.846982,0.857925
489,0.852397,0.866386
490,0.861350,0.859433
491,0.861958,0.864852
492,0.862809,0.869545
493,0.864030,0.866141
494,0.855934,0.863999
495,0.849598,0.869424
496,0.851460,0.864477
497,0.855088,0.867377
498,0.858303,0.864761
499,0.861055,0.863748
500,0.862965,0.866629
501,0.856593,0.866935
502,0.848507,0.860888
503,0.854846,0.863966
504,0.856109,0.867082
505,0.854653,0.871067
506,0.848796,0.872743
507,0.844106,0.874806
508,0.841456,0.880605
509,0.848648,0.882219
510,0.851715,0.878088
511,0.855155,0.880103
512,0.857534,0.880110
513,0.858408,0.869295
514,0.856900,0.864015
515,0.858433,0.868804
516,0.860167,0.862771
517,0.859597,0.855384
518,0.863851,0.854816
519,0.861052,0.853670
520,0.847698,0.851575
521,0.856184,0.852750
522,0.848689,0.856400
523,0.839435,0.859039
524,0.843750,0.863271
525,0.840829,0.862123
526,0.840093,0.857204
527,0.846119,0.861892
528,0.846179,0.863284
529,0.849859,0.865273
530,0.848069,0.863253
531,0.856031,0.864288
532,0.857377,0.867692
533,0.850370,0.868294
